,room_type_Entire home/apt,accommodates,gym,bedrooms,dishwasher,kitchen,longitude,room_type_Hotel room,latitude,refrigerator,cable_tv,pool,neighbourhood_Near North Side,reviews_per_month,neighbourhood_Albany Park,indoor_fireplace,minimum_nights,calculated_host_listings_count,availability_365,iron,neighbourhood_Loop,washer,room_type_Shared room,review_scores_rating,number_of_reviews,neighbourhood_Lincoln Park,neighbourhood_Washington Park,heating,hair_dryer,stove,neighbourhood_Lake View,neighbourhood_Logan Square,neighbourhood_Near West Side,room_type_Private room,maximum_nights,neighbourhood_East Garfield Park,hot_water,microwave,neighbourhood_South Chicago,neighbourhood_Uptown,neighbourhood_Belmont Cragin,neighbourhood_Oakland,neighbourhood_Englewood,neighbourhood_New City,neighbourhood_Austin,dryer,neighbourhood_Dunning
3274,0,0.6931471805599453,0,1.0,1,1,-87.73464,0,41.96131,1,0,0,0,-1.9661128563728327,0,0,2.302585092994046,1.6094379124341003,0,1,0,1,0,1.6094379124341003,1.0986122886681098,0,0,1,1,1,0,0,0,1,4.0943445622221,0,2,1,0,0,0,0,0,0,0,2,0
3275,1,0.6931471805599453,0,2.0,1,1,-87.58069,0,41.7975,1,0,0,0,2.955430976780465,0,0,0.0,4.23410650459726,228,1,0,1,0,1.5390154481375546,4.653960350157523,0,0,1,1,1,0,0,0,0,7.025538314638521,0,1,1,0,0,0,0,0,0,0,2,0
3276,1,1.791759469228055,0,2.0,1,1,-87.6586,0,41.8384,1,0,0,0,0.11332868530700327,0,0,0.0,1.0986122886681098,47,1,0,0,0,1.5129270120532565,3.332204510175204,0,0,1,1,1,0,0,0,0,7.025538314638521,0,2,1,0,0,0,0,0,0,0,1,0
3277,1,0.6931471805599453,1,2.0,0,1,-87.58461,0,41.79493,1,0,0,0,0.8329091229351039,0,0,0.0,4.23410650459726,225,1,0,1,0,1.5496879080283263,4.007333185232471,0,0,1,1,1,0,0,0,0,7.025538314638521,0,1,1,0,0,0,0,0,0,0,2,0
3278,1,0.6931471805599453,1,2.0,1,1,-87.58303000000001,0,41.79831,1,0,0,0,1.4398351280479205,0,0,0.0,4.23410650459726,230,1,0,1,0,1.5238800240724537,4.5217885770490405,0,0,1,1,1,0,0,0,0,7.025538314638521,0,1,1,0,0,0,0,0,0,0,2,0
3279,1,1.0986122886681098,1,1.0,0,1,-87.58601,0,41.794090000000004,1,0,0,0,1.0331844833456545,0,0,0.0,4.23410650459726,200,1,0,1,0,1.4996230464268938,4.174387269895637,0,0,1,1,1,0,0,0,0,7.025538314638521,0,1,1,0,0,0,0,0,0,0,2,0
3280,1,1.0986122886681098,1,1.0,0,1,-87.58434,0,41.79462,1,0,0,0,3.5655812377694427,0,0,0.0,4.23410650459726,207,1,0,1,0,1.5539252025038417,4.189654742026425,0,0,1,1,1,0,0,0,0,7.025538314638521,0,1,1,0,0,0,0,0,0,0,2,0
3281,1,1.6094379124341003,1,2.0,1,1,-87.58712,0,41.80362,1,0,0,0,1.244154593958768,0,0,0.0,4.23410650459726,180,1,0,1,0,1.5151272329628591,4.356708826689592,0,0,1,1,1,0,0,0,0,7.025538314638521,0,1,1,0,0,0,0,0,0,0,2,0
3282,1,0.6931471805599453,0,1.0,0,1,-87.58402,0,41.73411,1,0,0,0,-1.2729656758128873,0,0,1.0986122886681098,1.3862943611198906,346,1,0,0,0,1.4883995840570443,1.9459101490553132,0,0,1,1,1,0,0,0,0,2.6390573296152584,0,1,1,0,0,0,0,0,0,0,1,0
3283,1,1.3862943611198906,0,2.0,1,1,-87.63916,0,41.68773,1,0,0,0,0.35065687161316933,0,0,0.6931471805599453,0.0,201,1,0,0,0,1.5665304114228238,3.5553480614894135,0,0,1,1,1,0,0,0,0,4.499809670330265,0,1,1,0,0,0,0,0,0,0,1,0
3284,1,0.6931471805599453,1,1.0,1,1,-87.62571,0,41.89622,1,1,1,1,-2.995732273553991,0,0,3.4011973816621555,5.560681631015528,343,1,0,1,0,1.6094379124341003,0.0,0,0,1,1,0,0,0,0,0,7.025538314638521,0,1,1,0,0,0,0,0,0,0,2,0
3285,1,0.6931471805599453,1,2.0,1,1,-87.627914,0,41.895016,1,1,1,1,-1.171182981502945,0,0,3.4011973816621555,5.560681631015528,297,1,0,1,0,1.6094379124341003,0.0,0,0,1,1,0,0,0,0,0,7.025538314638521,0,1,1,0,0,0,0,0,0,0,2,0
3286,1,0.6931471805599453,1,2.0,1,1,-87.627914,0,41.895016,1,1,1,1,-4.605170185988091,0,0,3.4011973816621555,5.560681631015528,330,1,0,1,0,-4.605170185988091,-4.605170185988091,0,0,1,1,0,0,0,0,0,7.025538314638521,0,1,1,0,0,0,0,0,0,0,2,0
3287,1,0.6931471805599453,1,2.0,1,1,-87.627914,0,41.895016,1,0,1,1,-4.605170185988091,0,0,3.4011973816621555,5.560681631015528,275,1,0,1,0,-4.605170185988091,-4.605170185988091,0,0,1,1,0,0,0,0,0,7.025538314638521,0,1,1,0,0,0,0,0,0,0,2,0
3288,1,0.6931471805599453,1,1.0,1,1,-87.62571,0,41.896217,1,1,1,1,-4.605170185988091,0,0,3.4011973816621555,5.560681631015528,259,1,0,1,0,-4.605170185988091,-4.605170185988091,0,0,1,1,0,0,0,0,0,7.025538314638521,0,1,1,0,0,0,0,0,0,0,2,0
3289,1,0.6931471805599453,1,1.0,1,1,-87.62571,0,41.896217,1,1,1,1,-2.2072749131897207,0,0,3.4011973816621555,5.560681631015528,84,1,0,1,0,1.6094379124341003,0.6931471805599453,0,0,1,1,0,0,0,0,0,7.025538314638521,0,1,1,0,0,0,0,0,0,0,2,0
3290,1,2.3978952727983707,0,4.0,1,1,-87.63768,0,41.910379999999996,1,1,0,1,0.8285518175661483,0,0,0.0,1.9459101490553132,291,1,0,1,0,1.5830939370944985,3.8066624897703196,0,0,1,1,1,0,0,0,0,7.025538314638521,0,1,1,0,0,0,0,0,0,0,2,0
3291,1,1.3862943611198906,0,2.0,0,1,-87.66588,0,41.9747,1,0,0,0,-0.020202707317519466,0,0,0.0,0.0,305,1,0,0,0,1.4655675420143985,3.1780538303479458,0,0,1,1,0,0,0,0,0,7.025538314638521,0,2,1,0,1,0,0,0,0,0,1,0
3292,1,0.6931471805599453,0,1.0,0,1,-87.6871,0,41.97287,1,0,0,0,3.1599747169480397,0,0,1.3862943611198906,0.0,64,1,0,1,0,1.5282278570085572,3.4965075614664802,0,0,1,0,1,0,0,0,0,3.4339872044851463,0,1,1,0,0,0,0,0,0,0,1,0
3293,1,2.4849066497880004,0,5.0,0,1,-87.6918,0,41.81607,1,1,0,0,1.5496879080283263,0,0,0.6931471805599453,0.6931471805599453,345,1,0,1,0,1.3217558399823195,2.0794415416798357,0,0,1,1,0,0,0,0,0,7.025538314638521,0,1,1,0,0,0,0,0,0,0,2,0
3294,1,1.3862943611198906,0,2.0,1,1,-87.68638,0,41.87475,1,0,0,0,0.06765864847381486,0,1,0.6931471805599453,0.0,0,1,0,1,0,1.6094379124341003,3.258096538021482,0,0,1,1,1,0,0,1,0,7.025538314638521,0,1,1,0,0,0,0,0,0,0,2,0
3295,1,2.0794415416798357,0,2.0,1,1,-87.65234,0,41.8847,1,1,0,0,0.9707789171582248,0,0,0.0,0.0,145,1,0,1,0,1.5871923034867805,3.8066624897703196,0,0,1,1,1,0,0,1,0,7.025538314638521,0,1,1,0,0,0,0,0,0,0,2,0
3296,1,1.0986122886681098,0,1.0,1,1,-87.69194,0,41.882690000000004,1,1,0,0,1.2149127443642704,0,0,1.0986122886681098,0.0,293,1,0,1,0,1.5953389880545987,4.406719247264253,0,0,1,1,1,0,0,1,0,7.025538314638521,0,1,1,0,0,0,0,0,0,0,2,0
3297,1,0.6931471805599453,0,2.0,1,1,-87.70741,0,41.92607,1,1,0,0,0.8064758658669485,0,0,0.6931471805599453,0.0,69,1,0,1,0,1.5871923034867805,3.970291913552122,0,0,1,1,1,0,1,0,0,7.025538314638521,0,1,1,0,0,0,0,0,0,0,2,0
3298,1,0.6931471805599453,0,2.0,0,1,-87.66013000000001,0,42.00322,0,0,0,0,-0.1743533871447778,0,0,1.6094379124341003,0.0,0,0,0,1,0,1.599387576580599,2.995732273553991,0,0,1,0,0,0,0,0,0,4.02535169073515,0,1,0,0,0,0,0,0,0,0,1,0
3299,1,0.6931471805599453,1,1.0,1,1,-87.633408,0,41.894527000000004,1,1,0,1,-0.9675840262617056,0,0,3.4011973816621555,5.560681631015528,312,1,0,1,0,1.3862943611198906,0.0,0,0,1,1,0,0,0,0,0,7.025538314638521,0,1,1,0,0,0,0,0,0,0,2,0
